"cell_id","sample_id","donor_id","condition","truth_cell_type","truth_t_state","cell_cycle_phase","cell_cycle_score","ifn_score","stress_score","mitochondrial_technical_score"
"RC0269-1","D2_control","D2","control","NK","not_T","S",1.48774,0.593583,0.695114,0.663274
"RC0270-1","D2_stimulated","D2","stimulated","CD4 T","naive-like","G1",0,1.532103,0,0.219505
"RC0271-1","D2_control","D2","control","CD4 T","memory-like","G1",0,0.011699,0.274555,0.035654
"RC0272-1","D2_stimulated","D2","stimulated","CD8 T","cytotoxic","G1",0,1.179784,0.320404,0.282139
"RC0273-1","D2_stimulated","D2","stimulated","CD4 T","naive-like","G1",0.923868,-0.307622,0.559676,0.799058
"RC0274-1","D3_stimulated","D3","stimulated","B","not_T","G1",0.305807,1.560908,0.01382,0.25204
"RC0275-1","D3_control","D3","control","CD8 T","cytotoxic","G1",0,-0.359136,0.720229,0.153734
"RC0276-1","D1_stimulated","D1","stimulated","CD8 T","cytotoxic","G1",0,1.692757,0.511034,0
"RC0277-1","D2_control","D2","control","CD4 T","naive-like","G1",0,-0.401591,0.955895,0.463276
"RC0278-1","D1_stimulated","D1","stimulated","CD4 T","memory-like","G1",0,0.446298,0.742607,1.904554
"RC0279-1","D3_stimulated","D3","stimulated","B","not_T","G1",0,1.393608,1.158832,0.411048
"RC0280-1","D1_control","D1","control","CD8 T","naive-like","G1",0.068893,-0.715632,0.524696,0.753754
"RC0281-1","D3_control","D3","control","CD4 T","naive-like","G2M",1.658555,0.309699,0,0
"RC0282-1","D3_stimulated","D3","stimulated","B","not_T","G1",0,0.493421,0,0
"RC0283-1","D2_stimulated","D2","stimulated","Monocyte","not_T","G1",0,-0.163353,0.033668,0.082916
"RC0284-1","D1_stimulated","D1","stimulated","CD8 T","cytotoxic","G1",0.121848,1.088432,0,0.22478
"RC0285-1","D3_control","D3","control","Monocyte","not_T","G1",0,0.349039,0,0.768841
"RC0286-1","D2_stimulated","D2","stimulated","NK","not_T","G1",0.018671,1.446849,0.449329,1.011543
"RC0287-1","D3_control","D3","control","CD4 T","memory-like","G1",0,-0.045261,0.36453,1.044569
"RC0288-1","D2_control","D2","control","NK","not_T","G1",0.137073,-0.673339,0.126026,1.040655
"RC0289-1","D1_stimulated","D1","stimulated","CD8 T","cytotoxic","G1",0,0.935423,0.272,0.582997
"RC0290-1","D2_stimulated","D2","stimulated","Monocyte","not_T","G1",0.580535,0.916653,0.598806,0
"RC0291-1","D2_stimulated","D2","stimulated","NK","not_T","G1",0.154394,1.409926,0.616253,0.037691
"RC0292-1","D3_control","D3","control","B","not_T","G1",0,-0.778227,0.069402,0
"RC0293-1","D3_stimulated","D3","stimulated","B","not_T","G1",0,0.698564,0.621423,0.365855
"RC0294-1","D3_control","D3","control","CD4 T","memory-like","G1",0,-0.486347,0.734038,0.70897
"RC0295-1","D3_stimulated","D3","stimulated","CD4 T","naive-like","G2M",1.653351,0.518051,0,0.913739
"RC0296-1","D2_control","D2","control","CD4 T","naive-like","G1",0,0.274185,0.41877,0.275311
"RC0297-1","D3_stimulated","D3","stimulated","CD8 T","naive-like","G1",0.579893,1.133876,0.587122,0.312897
"RC0298-1","D1_stimulated","D1","stimulated","Monocyte","not_T","G1",0,1.177046,0,1.470725
"RC0299-1","D3_control","D3","control","B","not_T","S",1.148769,-0.284595,0.325829,0.037956
"RC0300-1","D2_control","D2","control","NK","not_T","G1",0,-1.063774,0.820529,0.64101
"RC0301-1","D1_control","D1","control","CD8 T","cytotoxic","G2M",1.504336,-0.300624,0,0
"RC0302-1","D3_stimulated","D3","stimulated","NK","not_T","G2M",1.656967,0.584843,0.884112,0.354367
"RC0303-1","D2_stimulated","D2","stimulated","Monocyte","not_T","G1",0,0.607863,0.248347,1.462243
"RC0304-1","D2_stimulated","D2","stimulated","CD4 T","memory-like","G1",0,1.10771,0.38622,0
"RC0305-1","D1_stimulated","D1","stimulated","NK","not_T","G1",0.007901,1.327637,0.022947,0.984493
"RC0306-1","D1_control","D1","control","NK","not_T","G1",0,-1.258249,0.215403,0.597844
"RC0307-1","D1_stimulated","D1","stimulated","Monocyte","not_T","G1",0.116766,1.628856,0.292145,0.26348
"RC0308-1","D2_stimulated","D2","stimulated","NK","not_T","G1",0.181668,0.768891,0,0.604769
"RC0309-1","D3_control","D3","control","CD8 T","naive-like","G1",0,-0.623766,0.318661,1.103916
"RC0310-1","D3_stimulated","D3","stimulated","CD4 T","naive-like","G1",0,0.945702,0.51269,0.410159
"RC0311-1","D2_stimulated","D2","stimulated","Monocyte","not_T","G1",0,0.599213,0,0.356915
"RC0312-1","D3_stimulated","D3","stimulated","CD4 T","memory-like","S",1.537568,1.937615,0.814727,0.247632
"RC0313-1","D3_control","D3","control","B","not_T","G2M",1.770002,-1.019382,0.015144,0
"RC0314-1","D2_stimulated","D2","stimulated","CD4 T","memory-like","S",1.356635,0.638799,0.002404,0.560231
"RC0315-1","D3_stimulated","D3","stimulated","B","not_T","G1",0,1.201625,0,1.295812
"RC0316-1","D1_stimulated","D1","stimulated","CD4 T","memory-like","G2M",1.710322,0.311842,0,0.412591
"RC0317-1","D2_control","D2","control","CD8 T","cytotoxic","S",1.456787,-1.162156,0,0
"RC0318-1","D1_stimulated","D1","stimulated","B","not_T","G1",0.188539,0.647417,0,0.819729
"RC0319-1","D3_control","D3","control","NK","not_T","G1",0.040067,-0.143182,0.132755,0.297572
"RC0320-1","D3_control","D3","control","B","not_T","G2M",1.978885,0.40844,0.249736,0
"RC0321-1","D2_stimulated","D2","stimulated","CD4 T","naive-like","G1",0,1.338845,0.480098,0
"RC0322-1","D3_control","D3","control","NK","not_T","G2M",1.811704,-0.180189,0.20448,0.782623
"RC0323-1","D2_stimulated","D2","stimulated","CD8 T","naive-like","G1",0,0.325782,0.951497,0.432713
"RC0324-1","D3_control","D3","control","Monocyte","not_T","G1",0,0.195077,0,1.267698
"RC0325-1","D2_control","D2","control","B","not_T","S",1.822915,-0.563513,0,0
"RC0326-1","D1_stimulated","D1","stimulated","Monocyte","not_T","G1",0,1.657358,0.496056,0
"RC0327-1","D3_stimulated","D3","stimulated","Monocyte","not_T","G1",0,0.347826,0.685991,0.138942
"RC0328-1","D2_control","D2","control","Monocyte","not_T","G1",0,0.186366,0.753935,0.507236
"RC0329-1","D2_stimulated","D2","stimulated","CD8 T","cytotoxic","S",1.937473,1.22552,0.051758,0
"RC0330-1","D1_control","D1","control","B","not_T","G1",0.140754,-0.807784,0,0.562874
"RC0331-1","D2_stimulated","D2","stimulated","Monocyte","not_T","G1",0.070251,1.79193,0.035367,0
"RC0332-1","D1_control","D1","control","CD8 T","cytotoxic","G1",0.05832,0.006824,0.459007,1.972999
"RC0333-1","D3_control","D3","control","CD8 T","cytotoxic","S",0.793425,-1.052653,0.668382,1.243516
"RC0334-1","D2_stimulated","D2","stimulated","CD4 T","memory-like","G1",0.469931,1.1108,1.2e-05,0.022418
"RC0335-1","D2_stimulated","D2","stimulated","CD4 T","naive-like","G1",0,1.413699,0.745867,0
"RC0336-1","D3_control","D3","control","CD8 T","cytotoxic","G1",0.100826,-0.083157,0,1.446691
"RC0337-1","D1_control","D1","control","CD8 T","naive-like","G1",0,-0.275216,0.03689,0
"RC0338-1","D2_stimulated","D2","stimulated","CD8 T","cytotoxic","G1",0,-0.036296,0.072813,0.406629
"RC0339-1","D3_stimulated","D3","stimulated","CD8 T","cytotoxic","G1",0,0.879146,0,0.365772
"RC0340-1","D1_control","D1","control","CD8 T","naive-like","G1",0.116169,-0.193189,0.313794,0.361333
"RC0341-1","D3_stimulated","D3","stimulated","NK","not_T","G1",0,0.316408,0,0.632521
"RC0342-1","D1_stimulated","D1","stimulated","NK","not_T","S",1.53602,0.882338,0,0.473746
"RC0343-1","D2_stimulated","D2","stimulated","CD4 T","naive-like","G1",0.333681,0.940877,0.264786,0.276838
"RC0344-1","D3_control","D3","control","NK","not_T","G1",0.633287,-0.00882,0.778089,1.145511
"RC0345-1","D1_stimulated","D1","stimulated","CD4 T","memory-like","G1",0,1.601544,0.169506,0
"RC0346-1","D2_control","D2","control","CD4 T","memory-like","G1",0.680146,-1.477539,0.414297,0.300513
"RC0347-1","D2_stimulated","D2","stimulated","CD4 T","memory-like","G1",0,0.440727,0.644725,0.96161
"RC0348-1","D3_control","D3","control","B","not_T","G2M",1.069571,-0.164105,0,0.645796
"RC0349-1","D1_stimulated","D1","stimulated","CD8 T","naive-like","G1",0.168881,1.129656,0.079943,0
"RC0350-1","D3_stimulated","D3","stimulated","B","not_T","G1",0.178261,0.357598,0.233773,0.147519
"RC0351-1","D1_control","D1","control","CD4 T","memory-like","S",1.155124,-0.578761,0.145837,0
"RC0352-1","D2_control","D2","control","CD8 T","cytotoxic","S",1.31773,0.359101,0.281369,0.077872
"RC0353-1","D3_stimulated","D3","stimulated","Monocyte","not_T","G1",0.038656,0.7895,0.48927,0.735
"RC0354-1","D1_control","D1","control","CD4 T","memory-like","S",2.125309,0.428105,0.088847,0.986158
"RC0355-1","D3_control","D3","control","Monocyte","not_T","S",2.248068,-0.103233,0.391223,0.779732
"RC0356-1","D1_control","D1","control","Monocyte","not_T","G1",0.485719,-0.19122,0.461481,0
"RC0357-1","D3_stimulated","D3","stimulated","B","not_T","G1",0,0.167065,0.260231,0.19973
"RC0358-1","D2_stimulated","D2","stimulated","B","not_T","G1",0,0.853849,0.708707,0.451402
"RC0359-1","D2_control","D2","control","NK","not_T","G1",0,0.265424,0,0.23464
"RC0360-1","D1_control","D1","control","CD4 T","memory-like","S",1.487388,-0.049717,0.389334,0.661882
"RC0361-1","D1_control","D1","control","CD4 T","naive-like","G1",0,0.289893,0,0
"RC0362-1","D1_control","D1","control","CD8 T","naive-like","G1",0,0.124698,0.534389,0.293647
"RC0363-1","D2_control","D2","control","CD8 T","cytotoxic","G1",0.421739,-0.99162,0.643255,0
"RC0364-1","D3_control","D3","control","B","not_T","S",0.846825,-1.482077,0.433461,0.772091
"RC0365-1","D3_control","D3","control","CD8 T","naive-like","G1",0.012534,-0.544167,0.112542,0.82182
"RC0366-1","D1_control","D1","control","CD4 T","naive-like","G1",0.302429,0.722689,0,0
"RC0367-1","D1_stimulated","D1","stimulated","NK","not_T","G1",0.824738,-0.144725,0,0
"RC0368-1","D3_stimulated","D3","stimulated","CD4 T","naive-like","G1",0,1.593632,0.153548,0.000887
"RC0369-1","D2_control","D2","control","CD4 T","memory-like","G1",0.241798,0.459633,0.90792,0.906009
"RC0370-1","D1_stimulated","D1","stimulated","Monocyte","not_T","G1",0,1.440212,0.68664,0.658864
"RC0371-1","D2_control","D2","control","CD8 T","cytotoxic","G1",0,-0.254791,0,0.956779
"RC0372-1","D3_control","D3","control","Monocyte","not_T","G1",0.362477,-0.164724,0.189928,0.02834
"RC0373-1","D3_stimulated","D3","stimulated","Monocyte","not_T","S",1.673617,1.133646,0,0.349273
"RC0374-1","D2_stimulated","D2","stimulated","B","not_T","G1",0.019418,1.477052,0.201712,0
"RC0375-1","D2_control","D2","control","Monocyte","not_T","G1",0.098677,-0.927169,0,0.638442
"RC0376-1","D2_stimulated","D2","stimulated","B","not_T","G2M",1.153922,0.753464,0.890933,0.359664
"RC0377-1","D1_stimulated","D1","stimulated","CD4 T","naive-like","S",1.349398,0.89821,0.531394,0.597236
"RC0378-1","D3_control","D3","control","NK","not_T","G1",0.238686,0.031713,0.19619,0.865286
"RC0379-1","D2_stimulated","D2","stimulated","Monocyte","not_T","G1",0,2.112591,0.048123,0.269016
"RC0380-1","D3_stimulated","D3","stimulated","CD4 T","naive-like","G2M",1.488727,1.82055,0.149013,0
"RC0381-1","D3_stimulated","D3","stimulated","CD8 T","naive-like","S",1.874632,0.863035,0.452795,1.256803
"RC0382-1","D2_stimulated","D2","stimulated","CD8 T","cytotoxic","G1",0.642284,1.184489,0,0.892268
"RC0383-1","D3_control","D3","control","CD8 T","cytotoxic","G1",0,-0.082322,0,0.560383
"RC0384-1","D2_control","D2","control","CD4 T","naive-like","G1",0,-0.812985,0.97283,0.620682
"RC0385-1","D1_stimulated","D1","stimulated","CD4 T","memory-like","G1",0.265445,1.307443,0,0
"RC0386-1","D1_control","D1","control","CD8 T","cytotoxic","G1",0,-0.783963,0.322741,0.354862
"RC0387-1","D1_control","D1","control","NK","not_T","G1",0.230869,0.109911,0.565085,0.795069
"RC0388-1","D2_stimulated","D2","stimulated","B","not_T","S",1.887278,0.538945,0,0.908123
"RC0389-1","D3_control","D3","control","CD8 T","cytotoxic","G2M",1.715337,0.828201,0.30699,0
"RC0390-1","D3_control","D3","control","B","not_T","G2M",2.099295,0.029817,0,0.329206
"RC0391-1","D2_control","D2","control","CD4 T","memory-like","G1",0,0.240281,0,0
"RC0392-1","D3_control","D3","control","Monocyte","not_T","G2M",1.801163,-1.038557,0,0.025
"RC0393-1","D1_control","D1","control","CD8 T","cytotoxic","G1",0,-0.128824,0.822414,1.157783
"RC0394-1","D1_control","D1","control","CD4 T","naive-like","G1",0.007515,-0.355319,0.783822,0.501055
"RC0395-1","D3_stimulated","D3","stimulated","CD4 T","naive-like","G2M",1.999707,0.773147,0.569876,0.633844
"RC0396-1","D3_control","D3","control","CD8 T","cytotoxic","G1",0,-0.738993,0.267763,0
"RC0397-1","D2_control","D2","control","CD4 T","memory-like","G1",0.252185,-0.002674,0.411091,0.829076
"RC0398-1","D1_control","D1","control","B","not_T","G2M",1.542185,-0.071286,0,0.055416
"RC0399-1","D1_control","D1","control","NK","not_T","G1",0,0.154871,0.055873,0.777044
"RC0400-1","D1_stimulated","D1","stimulated","CD8 T","cytotoxic","G1",0,1.568072,0.508662,0.448045
"RC0401-1","D1_stimulated","D1","stimulated","CD8 T","cytotoxic","G1",0.103,1.11457,0,0.437208
"RC0402-1","D3_stimulated","D3","stimulated","CD8 T","cytotoxic","S",1.363934,1.236865,1.067674,0.128052
"RC0403-1","D1_control","D1","control","CD8 T","cytotoxic","S",1.380366,-0.441739,0.363728,0.336923
"RC0404-1","D2_stimulated","D2","stimulated","Monocyte","not_T","G1",0,1.810671,0,0.655824
"RC0405-1","D2_control","D2","control","NK","not_T","G1",0,0.742614,0.348034,0.289778
"RC0406-1","D2_stimulated","D2","stimulated","CD4 T","memory-like","G1",0,0.577845,0.210968,0.151598
"RC0407-1","D1_control","D1","control","Monocyte","not_T","G1",0,-1.042271,0.416476,0.266773
"RC0408-1","D3_control","D3","control","CD8 T","naive-like","G1",0.71236,0.036862,0.076962,0.036569
"RC0409-1","D3_stimulated","D3","stimulated","Monocyte","not_T","G1",0,1.525705,0.383253,0.862946
"RC0410-1","D3_stimulated","D3","stimulated","NK","not_T","G1",0,0.670698,0.020196,0
"RC0411-1","D2_stimulated","D2","stimulated","CD8 T","naive-like","G1",0,1.678501,0.593833,0.749292
"RC0412-1","D2_control","D2","control","CD4 T","naive-like","G1",0,0.571472,0.8221,0.493299
"RC0413-1","D3_control","D3","control","CD8 T","naive-like","G1",0.160486,-0.645362,0.458098,0.314704
"RC0414-1","D2_stimulated","D2","stimulated","NK","not_T","G1",0,1.250881,0,0.075115
"RC0415-1","D2_stimulated","D2","stimulated","B","not_T","G1",0,0.57275,0.437513,0
"RC0416-1","D1_stimulated","D1","stimulated","CD4 T","naive-like","G1",0.907875,0.975339,0.132827,0.451754
"RC0417-1","D1_control","D1","control","Monocyte","not_T","G1",0.404634,-1.053529,0.43839,0.389616
"RC0418-1","D2_control","D2","control","Monocyte","not_T","G1",0,0.043935,0.276278,0.367532
"RC0419-1","D3_stimulated","D3","stimulated","Monocyte","not_T","G1",0.066138,1.291119,0.703679,0.041881
"RC0420-1","D3_stimulated","D3","stimulated","CD4 T","naive-like","G2M",1.470674,0.997244,0.322156,0.478632
"RC0421-1","D3_stimulated","D3","stimulated","CD4 T","memory-like","G2M",1.446488,0.870408,0,1.339121
"RC0422-1","D3_stimulated","D3","stimulated","CD4 T","naive-like","G1",0,0.186739,0,0.437464
"RC0423-1","D3_stimulated","D3","stimulated","CD4 T","naive-like","G1",0.219584,0.914759,0.631069,0.30049
"RC0424-1","D3_stimulated","D3","stimulated","Monocyte","not_T","G2M",1.674941,1.595377,0.807931,1.073147
"RC0425-1","D2_control","D2","control","CD4 T","naive-like","S",0.976596,-0.5442,0,0
"RC0426-1","D3_stimulated","D3","stimulated","CD8 T","cytotoxic","G1",0,0.901947,0.47673,0.586088
"RC0427-1","D1_control","D1","control","NK","not_T","G1",0,-0.171452,0.891878,1.217196
"RC0428-1","D3_stimulated","D3","stimulated","NK","not_T","G1",0.555398,1.042957,0,0.035044
"RC0429-1","D2_stimulated","D2","stimulated","B","not_T","G1",0.756264,0.770518,1.042465,0
"RC0430-1","D3_control","D3","control","NK","not_T","S",1.176344,0.714296,0.123616,0.142166
"RC0431-1","D2_control","D2","control","CD8 T","cytotoxic","G2M",1.63343,0.556579,0.305213,0.494115
"RC0432-1","D1_control","D1","control","CD8 T","naive-like","G1",0.021782,0.404777,0.608801,0
"RC0433-1","D1_stimulated","D1","stimulated","NK","not_T","G1",0.502251,0.430651,0.466924,0.488527
"RC0434-1","D3_stimulated","D3","stimulated","Monocyte","not_T","G1",0.169933,-0.024326,1.180632,0.143055
"RC0435-1","D1_control","D1","control","Monocyte","not_T","G1",0.179286,-0.23302,0.620218,0.641543
"RC0436-1","D1_stimulated","D1","stimulated","NK","not_T","G1",0,0.879889,0.271043,0.179727
"RC0437-1","D1_control","D1","control","NK","not_T","G1",0,-0.586293,0.159283,0.439922
"RC0438-1","D3_control","D3","control","B","not_T","S",2.198039,0.788053,0.198624,0
"RC0439-1","D3_control","D3","control","Monocyte","not_T","G1",0.046744,0.434612,0.815527,0.206848
"RC0440-1","D3_control","D3","control","B","not_T","G1",0,0.002173,0,0.3986
"RC0441-1","D1_control","D1","control","NK","not_T","S",1.828682,0.046006,0.027784,1.365099
"RC0442-1","D2_stimulated","D2","stimulated","Monocyte","not_T","G1",0,0.54904,0.253624,0
"RC0443-1","D2_stimulated","D2","stimulated","CD8 T","cytotoxic","G1",0,0.566626,0,0.6007
"RC0444-1","D1_control","D1","control","CD4 T","naive-like","S",1.682246,-0.191601,0,1.217665
"RC0445-1","D2_stimulated","D2","stimulated","CD4 T","naive-like","G1",0.072689,1.424725,0,0.389908
"RC0446-1","D3_control","D3","control","CD8 T","naive-like","S",1.610784,-0.34901,0.499191,0.497823
"RC0447-1","D2_stimulated","D2","stimulated","B","not_T","G1",0.247486,0.91415,0,0.790548
"RC0448-1","D1_stimulated","D1","stimulated","CD4 T","memory-like","G1",0.15889,0.728751,0.411447,0.398688
"RC0449-1","D2_control","D2","control","CD8 T","cytotoxic","G1",0,0.228372,0.177368,0.083151
"RC0450-1","D2_control","D2","control","CD8 T","cytotoxic","G1",0.730697,-0.54346,0.208019,0.174812
"RC0451-1","D2_control","D2","control","CD4 T","naive-like","G1",0.612689,0.457148,0.518796,0
"RC0452-1","D1_control","D1","control","CD8 T","cytotoxic","G1",0.115154,-1.171436,0,0
"RC0453-1","D2_stimulated","D2","stimulated","CD8 T","cytotoxic","G1",0.087546,0.252854,0,0
"RC0454-1","D1_stimulated","D1","stimulated","CD4 T","naive-like","G1",0,1.318699,0.498473,0.097016
"RC0455-1","D2_stimulated","D2","stimulated","CD8 T","naive-like","G2M",0.9711,0.577768,0,0.313982
"RC0456-1","D2_stimulated","D2","stimulated","Monocyte","not_T","G1",0.090643,1.354321,0.882593,0.66021
"RC0457-1","D1_control","D1","control","CD4 T","naive-like","G1",0.220393,-0.104451,0.819105,0
"RC0458-1","D3_control","D3","control","CD8 T","cytotoxic","G1",0.061844,-0.628181,0.266707,0
"RC0459-1","D1_control","D1","control","CD8 T","cytotoxic","G1",0,-0.968167,0.374025,0.424292
"RC0460-1","D2_control","D2","control","CD8 T","naive-like","G1",0,-1.237167,1.051573,0
"RC0461-1","D1_control","D1","control","B","not_T","G1",0.562514,-0.511044,0.174587,0.339811
"RC0462-1","D1_stimulated","D1","stimulated","CD8 T","naive-like","G1",0.350064,0.846839,0.614871,0.411835
"RC0463-1","D3_control","D3","control","CD8 T","cytotoxic","G1",0.326711,-0.171265,0,1.338341
"RC0464-1","D1_control","D1","control","CD4 T","naive-like","S",2.072912,-0.263285,0,0.707226
"RC0465-1","D1_control","D1","control","B","not_T","G1",0,-0.097503,0,1.019073
"RC0466-1","D3_control","D3","control","Monocyte","not_T","G1",0.177269,0.003434,0.921623,0.518732
"RC0467-1","D1_control","D1","control","NK","not_T","G1",0,-0.567397,0.242524,0.827688
"RC0468-1","D1_stimulated","D1","stimulated","CD4 T","naive-like","G1",0,0.461891,0.168443,0.949905
"RC0469-1","D3_stimulated","D3","stimulated","Monocyte","not_T","G2M",1.339225,0.940354,0.809487,0.739964
"RC0470-1","D3_stimulated","D3","stimulated","CD4 T","memory-like","G1",0.168178,0.208108,1.341155,0.783374
"RC0471-1","D1_control","D1","control","CD4 T","memory-like","G1",0,-0.104393,0,0.682441
"RC0472-1","D3_stimulated","D3","stimulated","CD8 T","naive-like","S",1.734427,0.108632,0.178615,1.359327
"RC0473-1","D1_stimulated","D1","stimulated","CD4 T","naive-like","G2M",1.908458,1.401961,0.960035,0.4757
"RC0474-1","D3_stimulated","D3","stimulated","NK","not_T","G1",0.125868,1.662547,0.145276,0.341584
"RC0475-1","D1_control","D1","control","B","not_T","G1",0,0.023007,0.052729,0.313636
"RC0476-1","D1_stimulated","D1","stimulated","CD8 T","cytotoxic","G2M",0.862566,1.28472,1.005411,0.497952
"RC0477-1","D3_stimulated","D3","stimulated","CD8 T","naive-like","S",1.256843,1.838494,0.179949,0.454591
"RC0478-1","D1_stimulated","D1","stimulated","CD8 T","cytotoxic","G1",0.365432,0.464518,0,0.266753
"RC0479-1","D2_control","D2","control","Monocyte","not_T","G1",0,-0.915927,0.602399,0.046228
"RC0480-1","D2_stimulated","D2","stimulated","CD8 T","cytotoxic","G1",0.000998,1.246647,0.232303,0
