"cell_id","sample_id","condition","truth_cell_type","truth_qc_class","doublet_source_1","doublet_source_2"
"BC0530-1","S4","stimulated","CD4 T","high_quality",,
"BC0531-1","S3","stimulated","NK","high_quality",,
"BC0532-1","S3","stimulated","B","stressed",,
"BC0533-1","S3","stimulated","B","high_quality",,
"BC0534-1","S2","control","NK","high_quality",,
"BC0535-1","S1","control","Monocyte","high_quality",,
"BC0536-1","S4","stimulated","Monocyte","high_quality",,
"BC0537-1","S1","control","NK","high_quality",,
"BC0538-1","S3","stimulated","NK","high_quality",,
"BC0539-1","S1","control","NK","stressed",,
"BC0540-1","S2","control","CD8 T","low_quality",,
"BC0541-1","S4","stimulated","CD4 T","high_quality",,
"BC0542-1","S4","stimulated","CD4 T","ambient_high",,
"BC0543-1","S2","control","CD4 T","ambient_high",,
"BC0544-1","S1","control","CD4 T","low_quality",,
"BC0545-1","S1","control","CD4 T","high_quality",,
"BC0546-1","S3","stimulated","CD4 T","high_quality",,
"BC0547-1","S2","control","CD8 T","high_quality",,
"BC0548-1","S2","control","CD8 T","high_quality",,
"BC0549-1","S1","control","NK","high_quality",,
"BC0550-1","S1","control","CD4 T","high_quality",,
"BC0551-1","S4","stimulated","Monocyte","high_quality",,
"BC0552-1","S1","control","B","high_quality",,
"BC0553-1","S2","control","Monocyte","high_quality",,
"BC0554-1","S2","control","CD8 T","high_quality",,
"BC0555-1","S2","control","CD4 T","high_quality",,
"BC0556-1","S4","stimulated","CD4 T","high_quality",,
"BC0557-1","S2","control","Monocyte","high_quality",,
"BC0558-1","S3","stimulated","CD8 T","stressed",,
"BC0559-1","S2","control","CD4 T","ambient_high",,
"BC0560-1","S3","stimulated","CD4 T","high_quality",,
"BC0561-1","S3","stimulated","NK","high_quality",,
"BC0562-1","S4","stimulated","CD8 T","high_quality",,
"BC0563-1","S1","control","CD4 T","high_quality",,
"BC0564-1","S2","control","CD8 T","high_quality",,
"BC0565-1","S1","control","CD8 T","high_quality",,
"BC0566-1","S2","control","CD4 T","high_quality",,
"BC0567-1","S1","control","CD8 T","high_quality",,
"BC0568-1","S2","control","Monocyte","high_quality",,
"BC0569-1","S3","stimulated","B","high_quality",,
"BC0570-1","S4","stimulated","NK","high_quality",,
"BC0571-1","S3","stimulated","CD8 T","stressed",,
"BC0572-1","S4","stimulated","CD4 T","high_quality",,
"BC0573-1","S1","control","CD4 T","high_quality",,
"BC0574-1","S3","stimulated","NK","high_quality",,
"BC0575-1","S2","control","Monocyte","high_quality",,
"BC0576-1","S3","stimulated","CD8 T","high_quality",,
"BC0577-1","S4","stimulated","CD8 T","low_quality",,
"BC0578-1","S1","control","CD4 T","high_quality",,
"BC0579-1","S4","stimulated","CD8 T","high_quality",,
"BC0580-1","S2","control","Monocyte","high_quality",,
"BC0581-1","S3","stimulated","CD8 T","high_quality",,
"BC0582-1","S1","control","CD8 T","high_quality",,
"BC0583-1","S4","stimulated","CD4 T","high_quality",,
"BC0584-1","S3","stimulated","Monocyte","high_quality",,
"BC0585-1","S1","control","B","high_quality",,
"BC0586-1","S1","control","CD8 T","low_quality",,
"BC0587-1","S4","stimulated","CD4 T","ambient_high",,
"BC0588-1","S3","stimulated","B","high_quality",,
"BC0589-1","S1","control","CD4 T","high_quality",,
"BC0590-1","S2","control","NK","high_quality",,
"BC0591-1","S2","control","NK","stressed",,
"BC0592-1","S4","stimulated","CD8 T","high_quality",,
"BC0593-1","S3","stimulated","B","high_quality",,
"BC0594-1","S1","control","NK","stressed",,
"BC0595-1","S1","control","CD8 T","high_quality",,
"BC0596-1","S1","control","CD8 T","high_quality",,
"BC0597-1","S1","control","B","high_quality",,
"BC0598-1","S2","control","CD8 T","high_quality",,
"BC0599-1","S2","control","B","ambient_high",,
"BC0600-1","S3","stimulated","CD8 T","ambient_high",,
"BC0601-1","S2","control","CD4 T","high_quality",,
"BC0602-1","S3","stimulated","B","high_quality",,
"BC0603-1","S1","control","NK","ambient_high",,
"BC0604-1","S3","stimulated","CD4 T","high_quality",,
"BC0605-1","S2","control","B","low_quality",,
"BC0606-1","S4","stimulated","NK","high_quality",,
"BC0607-1","S1","control","CD8 T","high_quality",,
"BC0608-1","S3","stimulated","Monocyte","high_quality",,
"BC0609-1","S2","control","CD8 T","high_quality",,
"BC0610-1","S3","stimulated","Monocyte","high_quality",,
"BC0611-1","S3","stimulated","CD8 T","high_quality",,
"BC0612-1","S3","stimulated","CD4 T","high_quality",,
"BC0613-1","S1","control","CD4 T","high_quality",,
"BC0614-1","S4","stimulated","Monocyte","high_quality",,
"BC0615-1","S1","control","CD4 T","low_quality",,
"BC0616-1","S4","stimulated","CD8 T","high_quality",,
"BC0617-1","S4","stimulated","Monocyte","high_quality",,
"BC0618-1","S3","stimulated","CD4 T","high_quality",,
"BC0619-1","S4","stimulated","Monocyte","high_quality",,
"BC0620-1","S4","stimulated","NK","low_quality",,
"BC0621-1","S3","stimulated","CD4 T","high_quality",,
"BC0622-1","S2","control","Monocyte","high_quality",,
"BC0623-1","S2","control","CD4 T","high_quality",,
"BC0624-1","S4","stimulated","NK","high_quality",,
"BC0625-1","S2","control","CD4 T","high_quality",,
"BC0626-1","S4","stimulated","Monocyte","stressed",,
"BC0627-1","S2","control","NK","stressed",,
"BC0628-1","S3","stimulated","NK","high_quality",,
"BC0629-1","S1","control","B","high_quality",,
"BC0630-1","S4","stimulated","CD4 T","high_quality",,
"BC0631-1","S3","stimulated","CD4 T","stressed",,
"BC0632-1","S4","stimulated","B","high_quality",,
"BC0633-1","S3","stimulated","NK","high_quality",,
"BC0634-1","S3","stimulated","Monocyte","high_quality",,
"BC0635-1","S3","stimulated","CD4 T","high_quality",,
"BC0636-1","S4","stimulated","B","low_quality",,
"BC0637-1","S3","stimulated","NK","high_quality",,
"BC0638-1","S2","control","CD8 T","stressed",,
"BC0639-1","S1","control","B","high_quality",,
"BC0640-1","S4","stimulated","CD8 T","high_quality",,
"BC0641-1","S1","control","Doublet","doublet","B","Monocyte"
"BC0642-1","S2","control","Doublet","doublet","CD4 T","CD4 T"
"BC0643-1","S2","control","Doublet","doublet","Monocyte","CD4 T"
"BC0644-1","S4","stimulated","Doublet","doublet","B","Monocyte"
"BC0645-1","S1","control","Doublet","doublet","B","B"
"BC0646-1","S1","control","Doublet","doublet","Monocyte","CD8 T"
"BC0647-1","S1","control","Doublet","doublet","CD8 T","B"
"BC0648-1","S1","control","Doublet","doublet","B","NK"
"BC0649-1","S4","stimulated","Doublet","doublet","B","NK"
"BC0650-1","S2","control","Doublet","doublet","Monocyte","CD8 T"
"BC0651-1","S3","stimulated","Doublet","doublet","NK","NK"
"BC0652-1","S4","stimulated","Doublet","doublet","CD8 T","CD4 T"
"BC0653-1","S1","control","Doublet","doublet","CD4 T","CD8 T"
"BC0654-1","S1","control","Doublet","doublet","CD4 T","CD4 T"
"BC0655-1","S2","control","Doublet","doublet","NK","B"
"BC0656-1","S1","control","Doublet","doublet","Monocyte","CD4 T"
"BC0657-1","S3","stimulated","Doublet","doublet","Monocyte","Monocyte"
"BC0658-1","S3","stimulated","Doublet","doublet","Monocyte","CD8 T"
"BC0659-1","S2","control","Doublet","doublet","NK","CD8 T"
"BC0660-1","S4","stimulated","Doublet","doublet","NK","NK"
"BC0661-1","S2","control","Doublet","doublet","Monocyte","CD4 T"
"BC0662-1","S2","control","Doublet","doublet","CD8 T","NK"
"BC0663-1","S1","control","Doublet","doublet","CD4 T","Monocyte"
"BC0664-1","S3","stimulated","Doublet","doublet","NK","CD8 T"
"BC0665-1","S1","control","Doublet","doublet","B","NK"
"BC0666-1","S2","control","Doublet","doublet","Monocyte","CD4 T"
"BC0667-1","S3","stimulated","Doublet","doublet","CD8 T","CD8 T"
"BC0668-1","S4","stimulated","Doublet","doublet","CD4 T","B"
"BC0669-1","S2","control","Doublet","doublet","NK","NK"
"BC0670-1","S1","control","Doublet","doublet","NK","CD8 T"
"BC0671-1","S4","empty","Empty droplet","empty_droplet",,
"BC0672-1","S1","empty","Empty droplet","empty_droplet",,
"BC0673-1","S4","empty","Empty droplet","empty_droplet",,
"BC0674-1","S2","empty","Empty droplet","empty_droplet",,
"BC0675-1","S1","empty","Empty droplet","empty_droplet",,
"BC0676-1","S1","empty","Empty droplet","empty_droplet",,
"BC0677-1","S4","empty","Empty droplet","empty_droplet",,
"BC0678-1","S2","empty","Empty droplet","empty_droplet",,
"BC0679-1","S2","empty","Empty droplet","empty_droplet",,
"BC0680-1","S3","empty","Empty droplet","empty_droplet",,
"BC0681-1","S2","empty","Empty droplet","empty_droplet",,
"BC0682-1","S2","empty","Empty droplet","empty_droplet",,
"BC0683-1","S3","empty","Empty droplet","empty_droplet",,
"BC0684-1","S3","empty","Empty droplet","empty_droplet",,
"BC0685-1","S1","empty","Empty droplet","empty_droplet",,
"BC0686-1","S4","empty","Empty droplet","empty_droplet",,
"BC0687-1","S2","empty","Empty droplet","empty_droplet",,
"BC0688-1","S3","empty","Empty droplet","empty_droplet",,
"BC0689-1","S2","empty","Empty droplet","empty_droplet",,
"BC0690-1","S4","empty","Empty droplet","empty_droplet",,
"BC0691-1","S3","empty","Empty droplet","empty_droplet",,
"BC0692-1","S1","empty","Empty droplet","empty_droplet",,
"BC0693-1","S2","empty","Empty droplet","empty_droplet",,
"BC0694-1","S4","empty","Empty droplet","empty_droplet",,
"BC0695-1","S1","empty","Empty droplet","empty_droplet",,
"BC0696-1","S2","empty","Empty droplet","empty_droplet",,
"BC0697-1","S3","empty","Empty droplet","empty_droplet",,
"BC0698-1","S2","empty","Empty droplet","empty_droplet",,
"BC0699-1","S3","empty","Empty droplet","empty_droplet",,
"BC0700-1","S1","empty","Empty droplet","empty_droplet",,
